bsbsbsbs,codepoint
51111125,0
61111133,1
41111216,2
51111224,3
61111232,4
41111315,5
51111323,6
61111331,7
41111414,8
51111422,9
41111513,10
51111521,11
41111612,12
41112125,13
51112133,14
61112141,15
31112216,16
41112224,17
51112232,18
31112315,19
41112323,20
51112331,21
31112414,22
41112422,23
31112513,24
41112521,25
31112612,26
31113125,27
41113133,28
51113141,29
21113216,30
31113224,31
41113232,32
21113315,33
31113323,34
41113331,35
21113414,36
31113422,37
21113513,38
31113521,39
21113612,40
21114125,41
31114133,42
41114141,43
11114216,44
21114224,45
31114232,46
11114315,47
21114323,48
31114331,49
11114414,50
21114422,51
11114513,52
21114521,53
11115125,54
21115133,55
31115141,56
11115224,57
21115232,58
11115323,59
21115331,60
11115422,61
11116133,62
21116141,63
11116232,64
11116331,65
41121116,66
51121124,67
61121132,68
41121215,69
51121223,70
61121231,71
41121314,72
51121322,73
41121413,74
51121421,75
41121512,76
41121611,77
31122116,78
41122124,79
51122132,80
31122215,81
41122223,82
51122231,83
31122314,84
41122322,85
31122413,86
41122421,87
31122512,88
31122611,89
21123116,90
31123124,91
41123132,92
21123215,93
31123223,94
41123231,95
21123314,96
31123322,97
21123413,98
31123421,99
21123512,100
21123611,101
11124116,102
21124124,103
31124132,104
11124215,105
21124223,106
31124231,107
11124314,108
21124322,109
11124413,110
21124421,111
11124512,112
11125124,113
21125132,114
11125223,115
21125231,116
11125322,117
11125421,118
11126132,119
11126231,120
41131115,121
51131123,122
61131131,123
41131214,124
51131222,125
41131313,126
51131321,127
41131412,128
41131511,129
31132115,130
41132123,131
51132131,132
31132214,133
41132222,134
31132313,135
41132321,136
31132412,137
31132511,138
21133115,139
31133123,140
41133131,141
21133214,142
31133222,143
21133313,144
31133321,145
21133412,146
21133511,147
11134115,148
21134123,149
31134131,150
11134214,151
21134222,152
11134313,153
21134321,154
11134412,155
11134511,156
11135123,157
21135131,158
11135222,159
11135321,160
11136131,161
41141114,162
51141122,163
41141213,164
51141221,165
41141312,166
41141411,167
31142114,168
41142122,169
31142213,170
41142221,171
31142312,172
31142411,173
21143114,174
31143122,175
21143213,176
31143221,177
21143312,178
21143411,179
11144114,180
21144122,181
11144213,182
21144221,183
11144312,184
11144411,185
11145122,186
11145221,187
41151113,188
51151121,189
41151212,190
41151311,191
31152113,192
41152121,193
31152212,194
31152311,195
21153113,196
31153121,197
21153212,198
21153311,199
11154113,200
21154121,201
11154212,202
11154311,203
41161112,204
41161211,205
31162112,206
31162211,207
21163112,208
21163211,209
42111116,210
52111124,211
62111132,212
42111215,213
52111223,214
62111231,215
42111314,216
52111322,217
42111413,218
52111421,219
42111512,220
42111611,221
32112116,222
42112124,223
52112132,224
32112215,225
42112223,226
52112231,227
32112314,228
42112322,229
32112413,230
42112421,231
32112512,232
32112611,233
22113116,234
32113124,235
42113132,236
22113215,237
32113223,238
42113231,239
22113314,240
32113322,241
22113413,242
32113421,243
22113512,244
22113611,245
12114116,246
22114124,247
32114132,248
12114215,249
22114223,250
32114231,251
12114314,252
22114322,253
12114413,254
22114421,255
12114512,256
12115124,257
22115132,258
12115223,259
22115231,260
12115322,261
12115421,262
12116132,263
12116231,264
51211115,265
61211123,266
11211164,267
51211214,268
61211222,269
11211263,270
51211313,271
61211321,272
11211362,273
51211412,274
51211511,275
42121115,276
52121123,277
62121131,278
41212115,279
42121214,280
61212131,281
41212214,282
51212222,283
52121321,284
41212313,285
42121412,286
41212412,287
42121511,288
41212511,289
32122115,290
42122123,291
52122131,292
31213115,293
32122214,294
42122222,295
31213214,296
41213222,297
42122321,298
31213313,299
32122412,300
31213412,301
32122511,302
31213511,303
22123115,304
32123123,305
42123131,306
21214115,307
22123214,308
32123222,309
21214214,310
31214222,311
32123321,312
21214313,313
22123412,314
21214412,315
22123511,316
21214511,317
12124115,318
22124123,319
32124131,320
11215115,321
12124214,322
22124222,323
11215214,324
21215222,325
22124321,326
11215313,327
12124412,328
11215412,329
12124511,330
12125123,331
22125131,332
11216123,333
12125222,334
11216222,335
12125321,336
11216321,337
12126131,338
51221114,339
61221122,340
11221163,341
51221213,342
61221221,343
11221262,344
51221312,345
11221361,346
51221411,347
42131114,348
52131122,349
41222114,350
42131213,351
52131221,352
41222213,353
51222221,354
41222312,355
42131411,356
41222411,357
32132114,358
42132122,359
31223114,360
32132213,361
42132221,362
31223213,363
41223221,364
31223312,365
32132411,366
31223411,367
22133114,368
32133122,369
21224114,370
22133213,371
32133221,372
21224213,373
31224221,374
21224312,375
22133411,376
21224411,377
12134114,378
22134122,379
11225114,380
12134213,381
22134221,382
11225213,383
21225221,384
11225312,385
12134411,386
11225411,387
12135122,388
11226122,389
12135221,390
11226221,391
51231113,392
61231121,393
11231162,394
51231212,395
11231261,396
51231311,397
42141113,398
52141121,399
41232113,400
51232121,401
41232212,402
42141311,403
41232311,404
32142113,405
42142121,406
31233113,407
32142212,408
31233212,409
32142311,410
31233311,411
22143113,412
32143121,413
21234113,414
31234121,415
21234212,416
22143311,417
21234311,418
12144113,419
22144121,420
11235113,421
12144212,422
11235212,423
12144311,424
11235311,425
12145121,426
11236121,427
51241112,428
11241161,429
51241211,430
42151112,431
41242112,432
42151211,433
41242211,434
32152112,435
31243112,436
32152211,437
31243211,438
22153112,439
21244112,440
22153211,441
21244211,442
12154112,443
11245112,444
12154211,445
11245211,446
51251111,447
42161111,448
41252111,449
32162111,450
31253111,451
22163111,452
21254111,453
43111115,454
53111123,455
63111131,456
43111214,457
53111222,458
43111313,459
53111321,460
43111412,461
43111511,462
33112115,463
43112123,464
53112131,465
33112214,466
43112222,467
33112313,468
43112321,469
33112412,470
33112511,471
23113115,472
33113123,473
43113131,474
23113214,475
33113222,476
23113313,477
33113321,478
23113412,479
23113511,480
13114115,481
23114123,482
33114131,483
13114214,484
23114222,485
13114313,486
23114321,487
13114412,488
13114511,489
13115123,490
23115131,491
13115222,492
13115321,493
13116131,494
52211114,495
62211122,496
12211163,497
52211213,498
62211221,499
12211262,500
52211312,501
12211361,502
52211411,503
43121114,504
53121122,505
42212114,506
43121213,507
53121221,508
42212213,509
52212221,510
42212312,511
43121411,512
42212411,513
33122114,514
43122122,515
32213114,516
33122213,517
43122221,518
32213213,519
42213221,520
32213312,521
33122411,522
32213411,523
23123114,524
33123122,525
22214114,526
23123213,527
33123221,528
22214213,529
32214221,530
22214312,531
23123411,532
22214411,533
13124114,534
23124122,535
12215114,536
13124213,537
23124221,538
12215213,539
22215221,540
12215312,541
13124411,542
12215411,543
13125122,544
12216122,545
13125221,546
12216221,547
61311113,548
11311154,549
21311162,550
